I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
6,8,3,-7,1,5,25,12,1,2,-29,-5
4,7,4,-6,0,5,28,12,1,3,-26,-8
2,5,4,-3,-1,4,31,10,0,3,-29,-10
0,1,0,-1,0,0,30,9,0,2,-33,-14
6,-3,-8,-2,7,-6,22,8,-3,0,-32,-16
8,-2,-10,-3,9,-7,19,3,-5,-3,-36,-16
13,2,-11,-8,12,-5,18,-2,-8,-3,-30,-16
13,6,-7,-9,10,-1,16,-6,-11,-3,-30,-14
6,8,2,-7,2,4,15,-6,-12,-2,-31,-13
7,14,6,-10,0,9,12,-8,-13,-1,-26,-11
8,20,12,-14,-2,16,8,-11,-13,-2,-30,-11
10,24,14,-17,-3,19,9,-12,-15,-2,-28,-12
10,26,16,-18,-4,21,12,-15,-17,-2,-31,-12
7,27,20,-17,-7,23,12,-13,-15,-2,-34,-12
8,29,21,-19,-7,25,9,-9,-12,1,-29,-7
7,30,23,-18,-9,26,2,-4,-9,4,-29,-4
9,31,22,-20,-7,26,-9,3,-8,10,-17,-2
10,30,20,-20,-5,25,-25,5,-9,12,-12,0
8,26,18,-17,-5,21,-44,6,-9,12,-12,-2
15,26,11,-20,2,18,-65,3,-11,9,-9,-6
21,26,5,-24,7,15,-86,-3,-14,2,-18,-13
21,29,7,-25,7,18,-101,-13,-19,-3,-21,-20
17,33,16,-25,0,24,-115,-27,-25,-9,-31,-26
6,34,28,-20,-12,31,-126,-46,-30,-18,-46,-40
-4,36,39,-16,-22,37,-137,-68,-36,-28,-57,-57
-17,30,47,-7,-32,38,-133,-86,-37,-42,-82,-87
-28,21,48,3,-38,34,-118,-100,-37,-55,-104,-127
-41,5,46,18,-44,25,-98,-107,-31,-72,-139,-179
-58,-18,40,38,-50,11,-71,-106,-18,-90,-181,-244
-82,-48,33,65,-58,-8,-40,-103,-3,-104,-224,-320
-116,-88,29,102,-73,-30,-3,-99,18,-120,-282,-407
-153,-138,16,145,-85,-61,48,-90,44,-133,-340,-510
-194,-196,-2,195,-96,-99,106,-79,72,-148,-411,-623
-240,-260,-20,250,-111,-140,165,-60,112,-157,-482,-746
-286,-325,-40,305,-123,-183,223,-36,156,-162,-546,-872
-336,-399,-63,367,-137,-231,278,-8,197,-166,-616,-1003
-385,-476,-91,431,-148,-284,331,24,235,-167,-675,-1136
-428,-544,-116,486,-156,-330,364,58,275,-157,-730,-1224
-468,-605,-137,536,-166,-372,385,94,317,-137,-778,-1284
-477,-648,-171,563,-154,-410,390,150,361,-89,-770,-1272
-470,-679,-209,575,-131,-445,381,219,406,-23,-733,-1209
-436,-691,-255,564,-91,-474,361,296,445,59,-641,-1094
-382,-688,-306,535,-38,-497,329,378,477,151,-517,-935
-327,-653,-326,490,-1,-489,287,443,510,249,-367,-755
-264,-590,-326,427,31,-459,237,498,542,355,-186,-552
-209,-515,-305,362,48,-410,185,536,570,457,-12,-360
-154,-426,-272,290,58,-349,136,563,595,560,174,-177
-101,-335,-234,218,66,-285,82,571,602,639,327,-18
-53,-243,-190,148,68,-216,28,565,598,700,456,115
-8,-154,-146,81,69,-151,-17,546,583,738,555,213
28,-71,-99,22,63,-86,-54,517,561,751,613,278
51,-11,-61,-20,56,-36,-84,478,526,740,640,310
64,32,-31,-48,47,0,-110,430,479,707,630,319
71,60,-10,-66,40,25,-133,380,429,657,595,309
80,79,-1,-79,40,39,-155,329,372,596,549,289
85,89,3,-87,41,46,-166,286,321,532,491,269
93,93,0,-93,46,46,-167,252,273,470,442,248
96,93,-3,-94,49,44,-171,220,227,414,393,233
92,88,-5,-90,48,41,-174,189,186,362,347,215
90,87,-3,-89,46,42,-177,162,152,316,313,199
83,89,6,-86,38,47,-180,136,124,271,273,182
79,89,10,-84,34,49,-181,113,100,234,242,161
77,89,12,-83,32,50,-181,91,78,201,206,140
72,86,14,-79,28,50,-185,74,60,171,173,122
71,84,12,-78,29,48,-194,62,42,147,150,110
69,79,10,-74,29,44,-200,53,28,125,127,101
71,74,3,-72,34,38,-201,47,15,110,121,95
73,69,-4,-71,38,32,-205,41,3,94,110,92
72,62,-10,-67,40,26,-208,37,-6,79,99,87
75,60,-15,-68,45,22,-211,31,-15,66,93,82
75,59,-16,-67,45,21,-213,22,-22,50,77,75
72,58,-14,-65,42,22,-210,16,-28,40,69,66
66,57,-9,-61,37,23,-206,9,-32,32,56,58
60,54,-6,-57,33,23,-207,5,-34,24,45,51
60,52,-9,-56,34,21,-212,4,-36,19,42,52
61,52,-9,-57,35,21,-214,3,-37,13,34,53
67,54,-12,-61,39,21,-214,5,-40,10,40,55
68,53,-15,-61,41,19,-214,4,-43,6,41,58
64,49,-15,-56,39,16,-211,3,-45,3,42,57
64,45,-18,-54,41,13,-212,0,-48,-1,47,56
59,41,-18,-50,38,11,-216,-6,-50,-9,41,52
58,40,-18,-49,38,11,-212,-9,-51,-13,41,46
58,42,-16,-50,37,13,-206,-13,-50,-16,33,42
53,42,-12,-47,32,15,-206,-14,-48,-17,27,37
51,42,-9,-46,30,16,-211,-14,-47,-15,28,37
51,42,-9,-47,30,16,-213,-16,-47,-14,22,37
59,43,-15,-51,37,14,-213,-17,-49,-8,29,37
64,45,-19,-55,41,13,-212,-18,-51,-7,31,40
66,47,-19,-56,43,13,-207,-18,-51,-8,36,40
69,47,-21,-58,45,13,-205,-17,-53,-9,41,40
65,45,-20,-55,42,12,-206,-18,-53,-13,34,39
62,43,-19,-52,40,12,-203,-17,-53,-13,37,37
56,40,-16,-48,36,12,-199,-18,-51,-13,34,38
50,38,-11,-44,30,13,-197,-18,-50,-13,31,37
47,39,-8,-43,27,15,-200,-17,-52,-13,34,40
45,38,-7,-41,26,15,-199,-17,-52,-13,30,42
47,35,-12,-41,29,11,-195,-14,-53,-11,37,44
49,34,-16,-41,32,9,-193,-12,-55,-10,38,47
49,31,-18,-40,33,6,-190,-8,-58,-9,40,47
52,31,-21,-42,36,5,-189,-5,-58,-7,46,50
52,31,-21,-41,36,4,-191,-5,-56,-8,40,54
51,29,-22,-40,36,3,-187,-7,-55,-8,42,53
48,27,-21,-37,34,2,-182,-11,-55,-10,36,52
46,27,-19,-36,32,4,-183,-14,-53,-11,31,49
50,31,-19,-40,34,6,-190,-15,-53,-9,32,48
49,31,-18,-40,33,6,-193,-17,-52,-9,27,48
50,30,-20,-40,35,4,-191,-16,-52,-7,34,47
50,29,-21,-39,35,3,-190,-17,-52,-4,36,49
47,26,-20,-37,33,3,-188,-17,-51,1,39,49
44,26,-18,-35,31,4,-187,-18,-50,4,44,51
35,24,-10,-30,22,7,-186,-20,-47,3,38,51
32,24,-8,-28,20,7,-183,-20,-46,3,40,49
31,23,-8,-27,19,7,-181,-20,-45,1,35,48
31,23,-8,-27,20,7,-181,-20,-45,-1,30,46
38,26,-12,-32,25,7,-186,-19,-47,-3,31,45
41,27,-13,-34,27,7,-188,-20,-45,-6,24,45
47,30,-17,-38,32,6,-189,-19,-41,-6,29,45
49,31,-18,-40,33,6,-189,-20,-40,-8,29,47
47,30,-17,-39,32,6,-188,-20,-40,-8,30,46
48,29,-19,-39,33,5,-190,-21,-42,-8,36,46
45,27,-18,-36,31,4,-195,-24,-43,-10,31,43
45,26,-19,-35,32,3,-193,-24,-43,-9,34,42
45,26,-19,-35,31,3,-188,-26,-43,-9,30,43
42,24,-17,-33,29,3,-188,-27,-42,-9,27,43
41,24,-17,-33,29,3,-192,-28,-43,-7,29,47
40,22,-18,-31,29,2,-193,-29,-44,-8,24,47
44,22,-22,-33,33,0,-191,-29,-45,-8,30,45
47,23,-24,-35,35,-1,-189,-29,-46,-9,29,45
47,22,-25,-35,35,-1,-186,-29,-46,-9,30,44
48,21,-27,-35,37,-3,-187,-30,-46,-9,34,43
44,18,-27,-31,35,-5,-189,-31,-44,-13,28,42
45,18,-26,-31,35,-4,-185,-30,-43,-14,30,40
45,21,-24,-33,35,-2,-179,-31,-41,-16,24,41
43,22,-21,-33,32,1,-177,-31,-40,-18,20,41
44,25,-18,-34,31,3,-182,-31,-42,-19,21,43
43,26,-16,-35,29,5,-182,-31,-42,-21,17,46
47,28,-19,-38,33,5,-180,-30,-43,-19,25,48
48,29,-19,-39,34,5,-179,-31,-43,-19,25,51
46,27,-19,-37,32,4,-176,-32,-42,-20,25,50
48,30,-18,-39,33,6,-176,-32,-42,-21,28,50
46,32,-14,-39,30,9,-178,-32,-42,-25,21,49
46,34,-12,-40,29,11,-175,-31,-41,-25,23,47
44,34,-11,-39,27,11,-171,-31,-39,-26,18,48
41,32,-8,-36,24,12,-170,-30,-39,-27,15,46
40,32,-8,-36,24,11,-174,-29,-40,-26,17,46
38,30,-8,-34,23,11,-172,-29,-41,-29,13,45
41,29,-12,-35,26,8,-164,-27,-42,-29,20,45
42,28,-14,-35,28,7,-162,-27,-43,-31,19,44
41,26,-15,-33,28,5,-163,-27,-44,-35,19,40
45,26,-19,-36,32,3,-165,-28,-45,-37,22,39
47,25,-22,-36,34,1,-166,-32,-44,-42,15,38
46,25,-21,-35,33,2,-162,-31,-42,-42,18,38
40,24,-16,-32,27,4,-156,-29,-40,-42,14,41
34,20,-14,-27,24,3,-155,-29,-39,-43,12,40
35,17,-17,-26,26,0,-159,-30,-41,-43,14,40
32,14,-18,-23,25,-2,-160,-32,-42,-45,11,40
33,12,-20,-22,26,-4,-159,-32,-42,-44,19,40
30,9,-21,-20,26,-6,-158,-34,-42,-44,20,40
25,4,-21,-15,23,-9,-157,-34,-40,-45,21,38
26,2,-24,-14,25,-11,-158,-34,-40,-43,25,38
24,-1,-25,-12,24,-13,-158,-34,-39,-43,19,36
25,-2,-27,-11,26,-15,-155,-32,-37,-40,23,35
24,-3,-27,-11,25,-15,-150,-30,-34,-40,21,36
22,-6,-28,-8,24,-17,-148,-29,-32,-40,20,36
23,-7,-31,-8,27,-19,-150,-30,-33,-40,23,40
23,-9,-31,-7,27,-20,-151,-30,-31,-41,20,42
26,-7,-34,-9,30,-21,-150,-28,-29,-39,30,42
29,-8,-36,-10,32,-22,-147,-26,-29,-38,31,43
29,-10,-39,-9,34,-25,-141,-25,-30,-36,34,42
33,-11,-44,-11,38,-28,-140,-23,-31,-35,40,43
33,-12,-46,-11,39,-29,-141,-23,-29,-36,36,43
35,-13,-48,-11,41,-31,-138,-19,-28,-34,41,44
34,-13,-47,-10,40,-30,-134,-16,-26,-34,40,46
32,-17,-49,-7,40,-33,-131,-12,-24,-30,41,48
32,-22,-54,-5,43,-38,-132,-7,-23,-23,49,52
32,-25,-57,-4,45,-41,-131,-4,-22,-22,49,55
37,-25,-63,-6,50,-44,-128,0,-22,-20,59,57
38,-28,-66,-5,52,-47,-125,6,-21,-17,64,60
35,-32,-68,-2,51,-50,-119,15,-19,-13,73,60
35,-37,-72,1,53,-55,-117,19,-20,-10,81,61
30,-45,-75,8,53,-61,-116,18,-19,-12,76,60
31,-50,-81,10,55,-65,-113,20,-19,-12,81,58
32,-52,-85,10,58,-69,-111,20,-19,-13,79,59
34,-55,-89,11,61,-73,-108,23,-18,-11,79,60
40,-56,-96,8,68,-76,-106,27,-18,-6,86,65
42,-57,-99,7,70,-78,-105,29,-17,-3,87,67
47,-55,-101,4,74,-78,-104,32,-17,2,99,68
48,-58,-105,5,76,-82,-102,34,-17,5,103,69
45,-66,-110,10,77,-88,-98,38,-15,8,108,68
48,-66,-114,9,81,-91,-95,44,-14,13,118,70
49,-65,-114,8,81,-90,-94,50,-10,16,118,73
51,-66,-117,7,84,-91,-88,55,-8,21,127,74
51,-68,-120,9,85,-94,-82,56,-7,23,125,77
50,-72,-122,11,86,-97,-79,60,-4,26,127,77
53,-74,-127,11,89,-101,-82,64,-3,31,133,79
51,-77,-128,13,89,-103,-79,69,0,33,132,81
52,-78,-131,13,91,-105,-73,77,2,37,142,83
51,-82,-133,16,91,-108,-68,83,4,40,146,86
46,-89,-135,22,90,-112,-63,91,6,45,153,86
45,-94,-139,24,92,-117,-62,96,7,48,160,87
41,-100,-141,30,91,-121,-63,100,7,48,157,86
41,-105,-146,32,93,-125,-60,105,8,50,161,83
41,-108,-148,33,94,-128,-55,108,9,48,156,81
41,-111,-152,35,96,-132,-55,113,10,48,154,77
46,-112,-158,33,101,-135,-58,117,10,50,157,77
46,-116,-162,35,103,-139,-59,120,11,50,154,75
49,-119,-168,35,108,-143,-57,124,11,51,163,73
50,-122,-173,36,111,-148,-55,127,11,52,164,73
50,-127,-177,38,114,-152,-51,130,12,54,168,71
52,-131,-183,39,118,-157,-50,134,13,55,173,69
49,-137,-186,44,117,-162,-49,138,17,54,168,64
49,-140,-189,45,119,-165,-44,141,19,55,170,60
49,-142,-190,47,119,-166,-38,140,19,54,164,59
46,-145,-191,49,118,-168,-36,144,19,54,162,55
47,-146,-193,49,120,-170,-39,150,18,56,165,53
46,-149,-195,52,120,-172,-40,154,18,54,160,50
49,-152,-200,51,124,-176,-39,157,16,53,164,46
51,-150,-201,49,126,-175,-37,160,16,53,161,44
52,-146,-199,47,125,-173,-31,163,18,54,161,41
55,-143,-198,44,126,-171,-32,164,18,56,164,39
52,-144,-196,46,124,-170,-35,163,18,56,159,35
51,-145,-196,47,123,-171,-35,164,17,56,161,32
48,-147,-195,49,121,-171,-32,163,15,52,153,29
46,-148,-194,51,120,-171,-32,161,14,48,148,26
49,-147,-195,49,122,-171,-37,158,11,45,146,27
47,-145,-192,49,119,-169,-40,155,10,42,140,26
48,-142,-190,47,119,-166,-44,154,9,44,146,24
49,-140,-189,45,119,-165,-45,151,9,44,144,23
50,-140,-190,45,120,-165,-42,149,9,44,144,20
52,-139,-192,44,122,-166,-45,146,7,42,145,20
50,-141,-191,45,120,-166,-51,142,5,37,136,18
50,-141,-191,45,120,-166,-52,139,3,34,135,15
48,-141,-189,47,118,-165,-50,135,1,28,125,14
44,-142,-186,49,115,-164,-51,130,-2,23,118,10
43,-141,-184,49,113,-162,-56,124,-8,20,113,9
41,-140,-181,50,111,-161,-60,119,-12,15,103,6
44,-137,-181,47,112,-159,-63,117,-17,13,104,3
44,-135,-179,46,112,-158,-63,112,-20,7,97,2
43,-134,-177,46,110,-156,-58,106,-22,1,93,-2
43,-131,-175,44,109,-153,-59,102,-26,-4,92,-3
40,-129,-169,45,104,-149,-61,96,-29,-11,80,-4
37,-126,-163,44,100,-145,-59,93,-31,-15,78,-5
33,-122,-155,45,94,-139,-56,88,-32,-22,68,-5
27,-121,-148,47,87,-134,-56,82,-33,-27,60,-8
24,-118,-143,47,83,-131,-61,74,-36,-32,55,-9
19,-118,-137,50,77,-127,-63,68,-38,-38,44,-12
17,-117,-133,50,75,-125,-63,64,-40,-41,45,-14
14,-115,-128,51,71,-122,-63,57,-42,-45,38,-16
10,-113,-123,52,66,-118,-61,49,-43,-47,34,-21
10,-109,-119,50,64,-114,-64,41,-47,-50,32,-25
7,-106,-113,50,60,-110,-70,32,-52,-54,21,-31
7,-104,-111,48,59,-108,-70,25,-55,-57,18,-36
5,-103,-109,49,57,-106,-68,16,-57,-63,6,-39
3,-103,-106,50,55,-105,-68,8,-58,-67,-3,-44
5,-101,-106,48,55,-104,-73,-1,-59,-70,-9,-47
3,-99,-102,48,52,-100,-75,-8,-58,-72,-18,-49
4,-95,-98,46,51,-97,-74,-13,-57,-71,-13,-50
3,-92,-95,45,49,-94,-73,-17,-55,-71,-17,-50
0,-92,-92,46,46,-92,-69,-20,-53,-70,-19,-51
-1,-91,-91,46,45,-91,-72,-24,-55,-70,-19,-53
-7,-93,-86,50,40,-90,-78,-29,-57,-72,-26,-59
-11,-93,-83,52,36,-88,-77,-33,-58,-72,-27,-63
-17,-94,-77,55,30,-85,-72,-39,-57,-75,-38,-63
-21,-94,-73,58,26,-84,-69,-43,-57,-76,-44,-64
-21,-94,-73,57,26,-83,-68,-46,-59,-77,-44,-61
-23,-92,-69,58,22,-80,-67,-49,-59,-78,-50,-61
-22,-87,-66,55,22,-77,-66,-49,-57,-77,-43,-60
-23,-86,-62,54,19,-74,-63,-50,-57,-75,-43,-59
-26,-86,-60,56,17,-73,-58,-48,-55,-71,-39,-61
-25,-85,-60,55,17,-73,-58,-44,-56,-67,-35,-62
-26,-86,-59,56,16,-73,-62,-39,-56,-66,-42,-64
-27,-85,-58,56,16,-72,-61,-36,-54,-62,-39,-65
-30,-84,-55,57,12,-69,-59,-38,-50,-59,-44,-64
-33,-86,-53,59,10,-70,-58,-38,-48,-57,-44,-64
-32,-88,-56,60,12,-72,-60,-40,-49,-55,-42,-62
-32,-90,-58,61,12,-74,-62,-44,-49,-57,-47,-62
-27,-91,-63,59,18,-77,-64,-47,-51,-58,-42,-62
-24,-90,-66,57,21,-78,-62,-50,-50,-59,-43,-61
-23,-90,-68,56,22,-79,-56,-52,-48,-57,-40,-62
-18,-88,-69,53,25,-79,-55,-53,-47,-55,-35,-60
-18,-86,-68,52,25,-77,-56,-54,-45,-57,-38,-59
-15,-84,-69,49,27,-76,-55,-52,-43,-57,-32,-58
-15,-83,-68,49,27,-76,-52,-51,-40,-59,-35,-55
-16,-81,-66,48,25,-74,-50,-48,-37,-58,-35,-54
-14,-77,-63,46,25,-70,-52,-46,-36,-55,-33,-50
-15,-75,-60,45,22,-68,-53,-44,-34,-53,-35,-49
-12,-72,-60,42,24,-66,-53,-39,-34,-48,-24,-48
-8,-71,-62,40,27,-67,-52,-38,-36,-48,-23,-47
-4,-72,-67,38,31,-69,-48,-37,-38,-49,-20,-49
-4,-73,-68,38,32,-70,-48,-35,-39,-47,-16,-46
-13,-76,-63,45,25,-70,-50,-33,-37,-47,-19,-44
-15,-79,-63,47,24,-71,-49,-32,-37,-47,-14,-43
-17,-81,-64,49,23,-72,-48,-35,-38,-51,-20,-43
-18,-83,-66,51,24,-75,-49,-36,-39,-53,-22,-46
-14,-84,-70,49,28,-77,-55,-37,-42,-54,-22,-47
-15,-87,-72,51,28,-80,-59,-36,-44,-57,-28,-47
-15,-91,-76,53,30,-83,-63,-34,-49,-57,-21,-45
-15,-92,-78,54,31,-85,-66,-35,-53,-59,-23,-41
-14,-93,-79,53,33,-86,-67,-34,-56,-59,-20,-39
-12,-96,-84,54,35,-90,-74,-34,-63,-59,-17,-40
-16,-102,-86,59,35,-94,-84,-34,-71,-62,-22,-46
-13,-108,-95,61,40,-101,-89,-34,-79,-64,-20,-50
-11,-115,-104,63,47,-109,-91,-37,-87,-71,-30,-51
-9,-120,-111,64,51,-116,-94,-37,-94,-78,-35,-55
-4,-123,-118,63,57,-120,-102,-37,-102,-85,-39,-56
-5,-126,-121,66,58,-124,-108,-38,-107,-91,-47,-58
-3,-128,-125,66,60,-126,-114,-38,-113,-93,-41,-60
-5,-128,-123,67,59,-126,-115,-40,-115,-96,-44,-59
-8,-127,-119,68,55,-123,-110,-40,-113,-97,-41,-57
-9,-125,-116,67,53,-120,-107,-40,-111,-95,-36,-55
-15,-124,-109,69,47,-117,-105,-40,-106,-95,-39,-55
-17,-124,-107,71,45,-116,-96,-37,-102,-93,-34,-55
-22,-126,-104,74,41,-115,-81,-36,-98,-93,-39,-54
-25,-129,-104,77,39,-117,-68,-31,-91,-91,-38,-54
-23,-131,-108,77,42,-119,-60,-26,-85,-86,-36,-50
-24,-132,-108,78,42,-120,-53,-22,-79,-84,-38,-49
-19,-130,-111,74,46,-121,-46,-17,-74,-79,-29,-49
-17,-128,-112,73,47,-120,-36,-13,-68,-77,-28,-46
-16,-127,-111,72,47,-119,-21,-7,-60,-73,-23,-43
-14,-126,-112,70,49,-119,-17,-2,-53,-69,-16,-39
-16,-128,-111,72,47,-119,-18,3,-45,-66,-17,-39
-14,-127,-113,71,50,-120,-14,9,-37,-60,-8,-36
-13,-128,-115,70,51,-121,-7,14,-28,-58,-9,-32
-11,-127,-116,69,52,-122,-2,18,-21,-53,-6,-29
-7,-125,-119,66,56,-122,0,20,-16,-47,-3,-25
-6,-124,-118,65,55,-121,2,23,-10,-40,-3,-21
-3,-121,-118,62,57,-119,4,28,-5,-30,9,-18
-1,-118,-117,59,58,-118,7,31,1,-23,13,-16
1,-116,-117,57,59,-116,14,36,6,-17,21,-18
5,-112,-117,54,61,-115,16,38,12,-13,27,-15
4,-110,-115,53,59,-113,18,38,21,-12,23,-13
3,-106,-110,52,56,-108,24,42,28,-6,29,-10
-2,-102,-99,52,48,-101,32,45,36,-2,26,-6
-4,-98,-94,51,45,-96,36,50,43,3,30,-4
-1,-93,-92,47,46,-93,33,53,46,9,37,-1
-4,-89,-86,47,41,-87,31,54,50,12,36,1
-5,-84,-79,45,37,-82,28,55,53,18,44,5
-5,-80,-74,43,34,-77,26,53,55,20,44,8
-3,-75,-73,39,35,-74,27,53,57,25,50,10
2,-70,-72,34,36,-71,22,51,56,28,56,11
1,-66,-67,33,34,-67,15,48,55,30,54,9
1,-59,-60,29,30,-60,10,45,52,31,59,7
-4,-51,-47,28,22,-49,7,37,49,28,52,6
-8,-46,-39,27,15,-42,4,32,47,27,50,4
-8,-42,-34,25,13,-38,-3,26,43,26,50,6
-11,-38,-28,24,8,-33,-7,21,42,24,45,6
-9,-33,-24,21,8,-29,-10,18,40,23,51,6
-9,-30,-21,19,6,-25,-10,15,39,23,49,7
-9,-28,-20,19,5,-24,-5,16,39,26,52,7
-8,-28,-20,18,6,-24,-8,17,37,27,56,7
-12,-31,-19,21,3,-25,-13,18,35,26,52,3
